iter	Logloss
0	0.6894283042
1	0.685569561
2	0.6814720359
3	0.6782029029
4	0.6743340579
5	0.6706056787
6	0.6664750047
7	0.662987519
8	0.6598096176
9	0.6573619075
10	0.653955784
11	0.650749475
12	0.647491656
13	0.6443828698
14	0.6407896129
15	0.6375946567
16	0.6348684593
17	0.6316466778
18	0.6286903041
19	0.6262196997
20	0.6237657646
21	0.6208583071
22	0.6184037766
23	0.6161338887
24	0.6136519803
25	0.611458362
26	0.6090529206
27	0.6066263014
28	0.6043042572
29	0.6021266827
30	0.5998423586
31	0.5977380747
32	0.5957694925
33	0.5934976687
34	0.5918312598
35	0.5895062914
36	0.5876295634
37	0.5855278806
38	0.5834282476
39	0.5813014455
40	0.5792135489
41	0.5775145564
42	0.5752457448
43	0.5735413342
44	0.5718865751
45	0.5696532063
46	0.5677523857
47	0.56570283
48	0.5634179279
49	0.5615077391
50	0.5599197088
51	0.5584240366
52	0.5563879262
53	0.5547172053
54	0.552823085
55	0.5508410036
56	0.5484199588
57	0.5467101777
58	0.5452695554
59	0.5432404922
60	0.5416477062
61	0.5400243747
62	0.5383755534
63	0.5368862825
64	0.5356133425
65	0.5343906506
66	0.5328434492
67	0.5311319865
68	0.5299814241
69	0.5283753879
70	0.5268315123
71	0.5253800547
72	0.5239116888
73	0.5223818007
74	0.5212222168
75	0.519980398
76	0.5186421297
77	0.5175364282
78	0.5162819061
79	0.5151354857
80	0.5138207637
81	0.5124352859
82	0.510780501
83	0.5095490399
84	0.5085400588
85	0.5072246018
86	0.506125088
87	0.5047852068
88	0.503437236
89	0.5023438314
90	0.5011416196
91	0.4999760315
92	0.4988096882
93	0.4973471704
94	0.4963657577
95	0.4953775615
96	0.4944509658
97	0.4932769691
98	0.492170394
99	0.4913739501
100	0.4904976431
101	0.489242079
102	0.4884395824
103	0.4874339962
104	0.4864108013
105	0.4855118295
106	0.4843169698
107	0.4834131566
108	0.4823045296
109	0.4813440607
110	0.4802786198
111	0.4793765926
112	0.478555528
113	0.4775809536
114	0.476726846
115	0.4758282681
116	0.4749767939
117	0.4735544185
118	0.4725315042
119	0.472065883
120	0.4712567966
121	0.4703913135
122	0.4693268095
123	0.468634281
124	0.4675976003
125	0.4664928094
126	0.4657112201
127	0.4650136661
128	0.4639341622
129	0.4631429498
130	0.462124847
131	0.4611559609
132	0.4601815855
133	0.459727133
134	0.4589316877
135	0.4579689812
136	0.457277377
137	0.4566456857
138	0.4560493431
139	0.4554701744
140	0.4547638181
141	0.4541454147
142	0.4533468099
143	0.4522327507
144	0.4515064481
145	0.45070191
146	0.4499310114
147	0.4492990117
148	0.4484658131
149	0.4477395855
150	0.4470080816
151	0.4464594862
152	0.4457770259
153	0.4452220592
154	0.4443325281
155	0.4435735143
156	0.4428324067
157	0.4420681883
158	0.4416008344
159	0.4407122883
160	0.4400720341
